catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
36,KU (wine vessel),item,Bronze,Containers,metalwork; bronze,"Bell, with clapper, is hung within hollow base 。",,H23.7 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
37,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 10.5 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE CHINESE GOVERNMENT,,government,China,,,
38,TING (caldron),item,Bronze,Containers,metalwork; bronze,SQUARE,Inscribed,H 25.6 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE CHINESE GOVERNMENT,,government,China,yes,,
39,LEI (wine vessel),item,Bronze,Containers,metalwork; bronze,,,H37 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
40,TING (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 22.1 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE CHINESE GOVERNMENT,,government,China,,,
41,KU (wine vessel),item,Bronze,Containers,metalwork; bronze,,,H24.4 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
42,CHÜEH (wine vessel),item,Bronze,Containers,metalwork; bronze,The two columns join under a single cap cap。,,H 19 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
43,TING (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H23.8 cm,1 Shang-Yin or and  Zhou Dynasty,Song,,,THE CHINESE GOVERNMENT,,government,China,,,
44,TING (caldron),item,Bronze,Containers,metalwork; bronze,,,H 58.6 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,"Hsin-chêng, Honan Province, chêng State",,"THE CHINESE GOVERNMENT, Honan Provincial Museum",,government,China,yes,,
45,TING (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 32.7 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,yes,,
46,CHIA (wine vessel),item,Bronze,Containers,metalwork; bronze,,,H34.9 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
47,CHUNG (bell),item,Bronze,Musical Instruments,metalwork; bronze,Modern jade knob,,H 32.6 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,,,
48,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 15.5 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE CHINESE GOVERNMENT,,government,China,yes,,
49,P'AN (basin),item,Bronze,Containers,metalwork; bronze,"with handle and spout , Figures of thirteen fish within circular zone inside the vessel。",,L 46 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE CHINESE GOVERNMENT,,government,China,yes,,
50,YU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 22.8 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE CHINESE GOVERNMENT,,government,China,,,
51,TSUN (wine vessel),item,Bronze,Containers,metalwork; bronze,Phoenix design,Inscribed,H 17.5 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,Hsing State,,THE CHINESE GOVERNMENT,,government,China,,,
52,TING (caldron),item,Bronze,Containers,metalwork; bronze,,,H74.8 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE CHINESE GOVERNMENT,,government,China,,,
53,TSUN (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 22.8 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE CHINESE GOVERNMENT,,government,China,yes,,
54,TING (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 28.8 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,Huang State,,THE CHINESE GOVERNMENT,,government,China,,,
55,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 37cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,Jui State,,THE CHINESE GOVERNMENT,,government,China,yes,,
56,TING (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 34.3 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,Jui State,,THE CHINESE GOVERNMENT,,government,China,yes,,
57,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,,,H 35 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,"Hsin-chêng, Honan Province, chêng State",,"THE CHINESE GOVERNMENT, Honan Provincial Museum",,government,"Henan, China",yes,,
58,CHUNG (bell),item,Bronze,Musical Instruments,metalwork; bronze,Example from set of twenty-one,,H41.5 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,"Hsin-chêng, Honan Province, chêng State",,"THE CHINESE GOVERNMENT, Honan Provincial Museum",,government,"Henan, China",,,
59,KUEI (food vessel) and cover,item,Bronze,Containers,metalwork; bronze,,,H 27.5 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,"Hsin-chêng, Honan Province, chêng State",,"THE CHINESE GOVERNMENT, Honan Provincial Museum",,government,"Henan, China",yes,,
60,FU ( food vessel),item,Bronze,Containers,metalwork; bronze,,,H19.8cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,"Hsin-chêng, Honan Province, chêng State",,"THE CHINESE GOVERNMENT, Honan Provincial Museum",,government,"Henan, China",yes,,
