catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
1672A,RECTANGULAR TABLE,item,Lacquer,Furnishings,plant derived materials; lacquer,"painted lacquer with a design of dragons and shou (longevity), characters in a red ground",,"H. 36 cm., L. 200 cm., W. 92 cm.",9 17C 18C,Qing,,,"P. CULTY, Paris",,private,"Paris, France",yes,,
1672B,JEWEL CASKET,item,Lacquer,Containers,plant derived materials; lacquer,"carved red, green and buff lacquer",,L. 68.6 cm,9 17C 18C,Qing,,,"SPINK AND SON, LTD., London",,private,"London, U.K.",yes,,
1673,SILK TAPESTRY (k'o ssŭ),item,Textile,Furnishings,textiles; silk,Phoenixes Singing,,148.7 by 48.7 cm,9 17C 18C,Song,,,THE CHINESE GOVERNMENT,,government,China,,,
1674,COVERED JAR,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit with peonies and Pair of pheasants, black ground",,H. 55 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1675,SQUARE VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit with season flowers, yellow ground",,H. 54 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1676,PAIR OF BRUSH HOLDERS,set,Ceramics,porcelain,ceramics; porcelain,"with group of six actors, porcelain, with coloured glazes",,H. 14.7 cm,9 17C 18C,Qing,,,"RIJKSMUSEUM, Amsterdam",,museum,"Amsterdam, Netherlands",,,
1677&1699,SQUARE VASE,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit with fish and waterweeds, green ground. Pair with No. 1699",,H. 49 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1678,PAIR OF JARS AND COVERS,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit with prunus and birds, black ground",,H. 22 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1679,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"with magnolia and peony in carved relief and coloured glazes, in yellow ground",,H. 37 cm,9 17C 18C,Ming,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
1680,COVERED JAR,item,Ceramics,porcelain,peorcelain; enamel,"enamelled on the biscuit with rockery, flowers and birds",,H. 37 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1681,SQUARE VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit with season flowers, green ground",,H. 49 cm,9 17C 18C,Qing,,,Lent ANONYMOUSLY,,private,,yes,,
1682,PLATE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"with incised dragons under decoration in three colour enamels of an apple, peach and pomegranates, a rebus for blessings, long life and posterity",,Di. 24.6 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,yes,,
1683,BEAKER-SHAPED VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit with prunus and birds, black ground",,H. 71 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1684,SQUARE VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),enamelled on the biscuit with season flowers in a black ground,,H. 55.5 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1685,PAIR OF JARS AND COVERS,set,Ceramics,porcelain,ceramics; porcelain(enamelled),enamelled on the biscuit with black ground,,H. 51.5 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",,,
1686,BRUSH POT,item,Ceramics,porcelain,ceramics; porcelain(enamelled),porcelain enamelled with figures in a green ground,,"H. 20 cm.,W. 16 cm",9 17C 18C,Qing,,,"ROBERT MAY, Zeist, Holland",,private,"Utrecht, The Netherlands",yes,,
1687,PAIR OF VASES,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit, black ground",,H. 13.3 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",,,
1688,PIPE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),in the form of a lotus pod decorated in famille verte enamels,,H. 22 cm,9 17C 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
1689,LARGE PLATE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"decorated with clouds and dragons in coloured enamels, in green and aubergine grounds",Mark of Ch'êng-hua in a dragon medallion with black ground,Di.41 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,yes,,
1690,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),of double-gourd shape with floral scrolls in a green enamel ground,,H. 26.8 cm,9 17C 18C,Qing,,,Lent ANONYMOUSLY,,private,,yes,,
1691,PAIR OF SQUARE VASES,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit with flowers and birds, black ground",,H. 30.5 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1692,HEXAGONAL BRUSH POT,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"with pierced sides and panels, with landscape and phoenix decoration in famille verte enamels",,H. 13 cm,9 17C 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
1693,TEAPOT,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit, green ground",,H. 11.5 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1694,TABLE SCREEN,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"with chrysanthemums, peonies and birds in famille verte enamels, green ground",,H. 55.3 cm. W. 29.9 cm,9 17C 18C,Qing,,,"THE HON. SIR EVAN CHARTERIS, K.C., London",,private,"London, U.K.",yes,,
1695,TALL CUP,item,Ceramics,porcelain,ceramics; porcelain(enamelled),enamelled on the biscuit with carp and waves in yellow ground,,H. 12 cm,9 17C 18C,Ming,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
1696,VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"with dragon handles, porcelain, enamelled on the biscuit with lotus, cranes and emblems in yellow ground",,H. 48.2 cm,9 17C 18C,Qing,,,"ANTHONY DE ROTHSCHILD, London",,private,"London, U.K.",yes,,
1697,VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),enamelled on the biscuit with season flowers in a black ground,,H. 50 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1698,PAIR OF BOTTLES,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit, petal panels with yellow ground",,H. 22.8 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1677&1699,SQUARE VASE,,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit with fish and waterweeds, green ground. Pair with No. 1677",,H. 49 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1700,JAR AND COVER,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, enamelled on the biscuit with rocks and flowering plants, black ground",,H. 59.6 cm,9 17C 18C,Qing,,,"ANTHONY DE ROTHSCHILD, London",,private,"London, U.K.",yes,,
1701,CARPET,item,Textile,Furnishings,textiles; wool,,,307.4 by 190.6 cm,9 17C 18C,Qing,,,"LIBERTY AND CO., LTD., London",,private,"London, U.K.",yes,,
1702,SILK EMBROIDERY,item,Textile,Furnishings,textiles; silk,Birds in Spring,,87 by 48.4 cm,9 17C 18C,Yuan,,,THE CHINESE GOVERNMENT,,government,China,,,
1703&1762,SILK TAPESTRY (k'o ssŭ),set,Textile,Furnishings,textiles; silk,Pair with No. 1762,,301.1 by 208.3 cm,9 17C 18C,Qing,,,"THE METROPOLITAN MUSEUM OF ART, New York",,museum,"New York, U.S.A.",yes,,
1704&1706,BEAKER,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit, black ground, Pair with No. 1706",,H. 68.6 cm,9 17C 18C,Qing,,,"FRANK PARTRIDGE AND SONS, LTD., London",,private,"London, U.K.",yes,,
1705,JAR AND COVER,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, enamelled on the biscuit, black ground",,H. 62.2 cm,9 17C 18C,Qing,,,"FRANK PARTRIDGE AND SONS, LTD., London",,private,"London, U.K.",yes,,
1704&1706,BEAKER,,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit, black ground, Pair with No. 1704",,H. 68.6 cm,9 17C 18C,Qing,,,"FRANK PARTRIDGE AND SONS, LTD., London",,private,"London, U.K.",yes,,
1707,SILK TAPESTRY (k'o ssŭ),item,Textile,Furnishings,textiles; silk,The Autumn Harvest,,88 by 66 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
1708,MARRIAGE CUP,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit, green ground",,W. 13.2 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1709,DISH,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, with decoration in famille verte enamels in Siamese taste",,Di. 22 cm,9 17C 18C,Qing,,,"REGINALD LE MAY, Cambridge",,private,"Cambridge, U.K.",yes,,
1710,BOWL,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit, prunus in green ground",,Di. 20 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1711,MARRIAGE CUP,item,Ceramics,porcelain,ceramics; porcelain(enamelled),enamelled on the biscuit,,W. 13.2 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1712,BOWL,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit, flowers in aubergine ground",,Di. 19.2 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1713,DISH,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, enamelled with dragons in red and green",Mark of Kangxi period,Di. 21.7 cm,9 17C 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
1714,MARRIAGE CUP,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"enamelled on the biscuit, aubergine ground",,W. 13.2 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1715,DISH,item,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated with two ladies and a child in famille verte enamels,,,9 17C 18C,Qing,,,"MRS. W. J. HOLT, London",,private,"London, U.K.",yes,,
1716,CUP,item,Ceramics,porcelain,ceramics; porcelain(enamelled),enamelled with fruit and butterflies,,Di. 7.3 cm,9 17C 18C,Qing,,,"MR. AND MRS. A. CHESTER BEATTY, London",,private,"London, U.K.",,,
1717,DISH,item,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated with landscapes and figures in famille verte enamels,,Di. 20.9 cm,9 17C 18C,Qing,,,"H. J. OPPENHEIM, London",,private,"London, U.K.",yes,,
1718,SQUARE VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, enamelled on the biscuit with red-tinted prunus blossom, black ground",,H. 48.2 cm,9 17C 18C,Qing,,,"ANTHONY DE ROTHSCHILD, London",,private,"London, U.K.",yes,,
1719,DISH,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"decorated in famille verte enamels, with a lady seated at a table",,Di. 15.8 cm,9 17C 18C,Qing,,,"H. J. OPPENHEIM, London",,private,"London, U.K.",yes,,
1720,CUP,item,Ceramics,porcelain,ceramics; porcelain(enamelled),enamelled with fruit and butterflies,,Di. 7.5 cm,9 17C 18C,Qing,,,"MR. AND MRS. A. CHESTER BEATTY, London",,private,"London, U.K.",,,
1721,PLATE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"painted in famille verte enamels, with lady in panel",Mark of Kangxi period,Di. 31.7 cm,9 17C 18C,Qing,,,"W. F. VAN HEUKELOM, Amsterdam",,private,"Amsterdam, Netherlands",yes,,
1722,BIRTHDAY PLATE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"with fairies in delicate famille rose enamels, and Imperial birthday greeting in border, Pair with No. 1727",Mark of Kangxi period,Di. 24.7 cm,9 17C 18C,Qing,,,"CAPTAIN A. T. WARRE, Hove",,private,"East Sussex, U.K.",,,
1723,"FIGURE OF K'UEI HSING TI-CHÜN (God of Literature), by a rock",item,Ceramics,porcelain,ceramics; porcelain,porcelain with coloured glazes,,H. 13 cm,9 17C 18C,Qing,,,"MRS. W. J. HOLT, London",,private,"London, U.K.",yes,,
1724,SAUCER DISH,item,Ceramics,porcelain,ceramics; porcelain(enamelled),with tiger-shooting scene in famille verte enamels,Mark of Ch'êng-hua,Di. 17 cm,9 17C 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
1725,BOWL,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"with floral decoration in famille verte enamels, in a black ground",,Di. 34.5 cm,9 17C 18C,Qing,,,"A. STAAL, Amsterdam",,private,"Amsterdam, Netherlands",yes,,
1726,SAUCER DISH,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"with ladies in garden and butterflies and flowers, in pale famille verte enamels",Mark of Ch'êng-hua,Di. 17.3 cm,9 17C 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
1727,BIRTHDAY PLATE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"with lady and attendant in famille verte enamels, Pair with No. 1722",,Di. 25 cm,9 17C 18C,Qing,,,"C. E. RUSSELL, London",,private,"London, U.K.",yes,,
1728,SEAL of the Emperor K'ang-his,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"in form of a cube, porcelain, decorated in enamel colours with dragons and clouds",,H. 6 cm,9 17C 18C,Qing,,,"MUSÉE DU LOUVRE, Paris",,museum,"Paris, France",yes,,
1729,BIRTHDAY PLATE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),with bird on branch in famille verte enamels,Mark of Kangxi period,Di. 25.5 cm,9 17C 18C,Qing,,,"C. E. RUSSELL, London",,private,"London, U.K.",,,
1730,PAIR OF BOWLS,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"hexagonal, porcelain, with figure subjects in famille verte enamels",,W. 20.3 cm,9 17C 18C,Qing,,,"MRS. STEPHEN MANUEL, Martlesham, Suffolk",,private,"Suffolk, U.K.",yes,,
1731,DISH,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"saucer-shaped, decorated with a peach and longevity wishes in famille verte enamels",Mark of Kangxi period,Di. 28.7 cm,9 17C 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
1732,BOWL,item,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated with Taoist subjects in famille verte enamels and gilding,,Di 22.4 cm,9 17C 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
1733,DEEP DISH,item,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated in famille verte enamels,,W. 26.6 cm,9 17C 18C,Qing,,,"MRS. STEPHEN MANUEL, Martlesham, Suffolk",,private,"Suffolk, U.K.",yes,,
1734&1735,HANGING PICTURE,set,Textile,Furnishings,textiles,"ladies in a garden, embroidery, embroidery",,H. 274.5 cm. W. 58.4 cm,9 17C 18C,Qing,,,"M. KEEZER AND SON, Amsterdam, Holland",,private,"Amsterdam, Netherlands",,,
1734&1735,HANGING PICTURE,,Textile,Furnishings,textiles,"ladies in a garden, embroidery, embroidery",,H. 274.5 cm. W. 58.4 cm,9 17C 18C,Qing,,,"M. KEEZER AND SON, Amsterdam, Holland",,private,"Amsterdam, Netherlands",,,
1736,SILK TAPESTRY (k'o ssŭ),item,Textile,Furnishings,textiles; silk,Springtime in the Country,,88.5 by 66.1 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
1737,DISH,item,Ceramics,porcelain,ceramics; porcelain,"saucer-shaped, with openwork sides and decoration in underglaze blue and red",,Di. 15 cm,9 17C 18C,Qing,,,"H. J. OPPENHEIM, London",,private,"London, U.K.",yes,,
1738,BRUSH BARREL,item,Ceramics,porcelain,ceramics; porcelain,with landscape carved in relief and coloured with underglaze red and blue and celadon green,Mark of Kangxi period,H. 14 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
1739,BOWL,item,Ceramics,porcelain,ceramics; porcelain(enamelled),with fruit in underglaze blue and enamels,,Di. 20.5 cm,9 17C 18C,Ming,,,"J. LAURITZEN, Stockholm",,private,"Stockholm, Sweden",yes,,
1740,STEM-CUP,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, decorated in underglaze blue and enamels",,H. 13.8 cm,9 17C 18C,Qing,,,"MR. AND MRS. CHESTER BEATTY, London",,private,"London, U.K.",yes,,
1741,MINIATURE VASE,item,Ceramics,porcelain,ceramics; porcelain,"of ""soft-paste"" porcelain, with lotus scrolls in underglaze blue",Mark of Chia-ching,H. 12 cm,9 17C 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
1742,VASE (liu),item,Ceramics,porcelain,ceramics; porcelain,"with decoration of bamboo, rocks and plantain in underglaze blue",Seal mark of Qianlong period,H. 29 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
1743,BOX AND COVER,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"of five-lobed form, porcelain imitating glass, with longevity symbols in thick blue enamel",Mark of Qianlong period,Di. 6.5 cm,9 17C 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
1744,PILGRIM BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, decorated in underglaze red",Mark of Qianlong period,H. 17.8 cm,9 17C 18C,Qing,,,"R. C. BRUCE, London",,private,"London, U.K.",yes,,
1745,TEA POT,item,Ceramics,porcelain,ceramics; porcelain,"""soft-paste"" porcelain, with stylized foliage in underglaze blue",Marked yü (jade),H. 7 cm,9 17C 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
1746,SQUARE VASE,item,Ceramics,porcelain,ceramics; porcelain,with decoration of flowers and birds in underglaze blue and red,,H. 55 cm,9 17C 18C,Qing,,,"S. D. WINKWORTH, Walton-on-the-Hill, Surrey",,private,"Surrey, U.K.",yes,,
1747,MINIATURE JAR AND COVER,item,Ceramics,porcelain,ceramics; porcelain,"""soft-paste"" porcelain, with archaic dragons in underglaze blue",Mark of Chia-ching period,H. 6.5 cm,9 17C 18C,Ming,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
1748,BOX AND COVER,item,Ceramics,porcelain,ceramics; porcelain,"with lotus sprays and butterflies in white, in a coral ground",Mark of Yongzheng period,Di. 15 cm,9 17C 18C,Qing,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
1749,MINIATURE JAR,item,Ceramics,porcelain,ceramics; porcelain,"""soft-paste"" porcelain, decorated with dragons and clouds in underglaze blue",Mark of Hsüan-tê period,H. 6 cm,9 17C 18C,Ming,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
1750,EWER,item,Ceramics,porcelain,ceramics; porcelain,with petal moulding and scroll decoration in underglaze blue,Blue seal mark of Yongzheng period,H. 31.2 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,yes,,
1751,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"""soft-paste"" porcelain, with vases and symbols in underglaze blue",Mark of Chia-ching period,H. 11 cm,9 17C 18C,Ming,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",,,
1752,VASE (chê-fang p'ing),item,Ceramics,porcelain,ceramics; porcelain,"beaker-shaped, with faceted bulb and dragon handles and twining sprays of ? sesamum in underglaze blue",Seal mark of Qianlong period,H. 16 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
1753,VASE,item,Ceramics,porcelain,ceramics; porcelain,"of hexagonal section (kuan-êrh liu-fang liu), with tubular handles and decorated with lotus scrolls in underglaze blue()",Seal mark of Yongzheng period,H. 28.7 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
1754,SMALL VASE (p'ing),item,Ceramics,porcelain,ceramics; porcelain,"of crackled ""soft-paste"" porcelain, with clouds and dragons in underglaze blue","Mark of Ch'êng-hua period, Ming Dynasty",H. 17.4 cm,9 17C 18C,Ming,,,THE CHINESE GOVERNMENT,,government,China,,,
1755,STEM-CUP,item,Ceramics,porcelain,ceramics; porcelain,decorated with Sanskrit invocations and lotus scrolls in underglaze blue,Seal mark of Qianlong period,H. 8.7 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
1756,VASE (kuan-êrh p'ing),item,Ceramics,porcelain,ceramics; porcelain,with tubular handles and clouds and bats in underglaze blue,Seal mark of Qianlong period,H. 35.1 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
1757,VASE (kuan-êrh p'ing),item,Ceramics,porcelain,ceramics; porcelain,"with tubular handles, twining sprays of hai shih-liu (foreign pomegranate) in underglaze blue",Seal mark of Qianlong period,H. 19.4 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
1758,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"in shape of a double gourd, design of gourd vines and bats in underglaze red",,H. 34 cm. W. 21 cm,9 17C 18C,Qing,,,"ROBERT MAY, Zeist, Holland",,private,"Utrecht, The Netherlands",yes,,
1759,SAUCER DISH,item,Ceramics,porcelain,ceramics; porcelain,porcelain with decoration of dragons and clouds in overglaze red,Mark of Yongzheng period,Di. 21.6 cm,9 17C 18C,Qing,,,"CAPTAIN A. T. WARRE, Hove",,private,"East Sussex, U.K.",yes,,
1760,FLASK,item,Ceramics,porcelain,ceramics; porcelain,"double-gourd shape, decorated with dragons and clouds in underglaze blue and red in a yellow ground",Mark of Qianlong period,H. 30.9 cm,9 17C 18C,Qing,,,"M. CALMANN, Paris",,private,"Paris, France",yes,,
1761,SCONCE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with powder-blue glaze and gilding",,H. 55.5 cm,9 17C 18C,Qing,,,"S. D. WINKWORTH, Walton-on-the-Hill, Surrey",,private,"Surrey, U.K.",yes,,
1703&1762,SILK TAPESTRY (k'o ssŭ),,Textile,Furnishings,textiles; silk,Pair with No. 1703,,301.1 by 208.3 cm,9 17C 18C,Qing,,,"THE METROPOLITAN MUSEUM OF ART, New York",,museum,"New York, U.S.A.",yes,,
1763,ALTAR SET OF FIVE PIECES,item,Lacquer,Furnishings,plant derived materials; lacquer,"in carved lacquer of three layers, red, green and orange-vermilion",,Av. H. 137 cm,9 17C 18C,Ming,,,"THE VICTORIA AND ALBERT MUSEUM, London",,museum,"London, U.K.",yes,,
1764,ROUND BOX,item,Lacquer,Containers,plant derived materials; lacquer,carved lacquer,Mark of Yung-lo period,Di. 23.5 cm,9 17C 18C,Ming,,,"THE GERMAN STATE MUSEUMS, Berlin",,museum,"Berlin, Germany",,,
1765,BOX,item,Lacquer,Containers,plant derived materials; lacquer,"lacquer, with metal edges, clasps and hinges, painted in red and gold with an indoor scene and a landscape",,L. 40.9 cm,9 17C 18C,Ming,,,"HIS EXCELLENCY DR. E. A. VORETZSCH, Colmberg, Germany",,private,"Bavaria, Germany",yes,,
1766,PLATE,item,Lacquer,Containers,plant derived materials; lacquer,"carved red and yellow lacquer, with dragon and phoenix design",Mark and period of Chia-ching,Di. 20.6 cm,9 17C 18C,Ming,,,THE CHINESE GOVERNMENT,,government,China,yes,,
1767,BOX,item,Lacquer,Containers,plant derived materials; lacquer,"lacquer, with painted dragons in red and black",,H. 8.9 cm. W. 19.1 cm,9 17C 18C,Ming,,,"THE ROYAL SCOTTISH MUSEUM, Edinburgh",,museum,"Edinburgh, U.K.",yes,,
1768,CABINET,item,Lacquer,Furnishings,plant derived materials; lacquer,"lacquer, painted with birds and flowers and inlaid with mother-of-pearl",,L. 47.5 cm,9 17C 18C,Ming,,,"HIS EXCELLENCY DR. E. A. VORETZSCH, Colmberg, Germany",,private,"Bavaria, Germany",,,
1769,SILK EMBROIDERY,item,Textile,Furnishings,textiles; silk,"White Eagle, Colours in dark blue ground",,107.5 by 54.5 cm,9 17C 18C,Song,,,THE CHINESE GOVERNMENT,,government,China,yes,,
1770,CARPET,item,Textile,Furnishings,textiles; wool,,,228.6 by 152.5 cm,9 17C 18C,Qing,,,"BLUETT AND SONS, London",,private,"London, U.K.",yes,,
1771,PAIR OF BOTTLES,set,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated with famille verte enamel colours in panels in a powder-blue ground,,H. 47 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1772,SQUARE VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated with famille verte enamel colours and season flowers,,H. 49.5 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1773,PAIR OF VASES,set,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated in panels in famille verte enamel colours in a powder-blue ground,,H. 45 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1774,LARGE PLATE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"decorated with famille verte enamel colours with pavilion, powder-blue border",,Di. 52 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1775&1776,LARGE PLATE,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"decorated with birds in famille verte enamel colours, Pair with No. 1776",,Di. 46 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1775&1776,LARGE PLATE,,Ceramics,porcelain,ceramics; porcelain(enamelled),"decorated with birds in famille verte enamel colours, Pair with No. 1775",,Di. 46 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
